"V1","V2"
0,0.33392848909659
1,0.335281088482492
2,0.335805461341533
3,0.336105873488236
4,0.336302187921159
5,0.33643961578447
6,0.336540268490703
7,0.336616288477634
8,0.336674878038679
9,0.336720567098576
10,0.336756337130969
11,0.336784219936301
12,0.336805636007553
13,0.336821595163408
14,0.336832820191763
15,0.336839825309197
16,0.336842966884313
17,0.336842476357937
18,0.336838481159763
19,0.336831017029623
20,0.336820033682253
21,0.336805394772375
22,0.336786872371575
23,0.336764135494835
24,0.336736731475365
25,0.336704058030903
26,0.336665322481528
27,0.336619482426217
28,0.336565158661095
29,0.336500505109542
30,0.33642300986033
31,0.336329181648528
32,0.336214037769398
33,0.336070230889113
34,0.335886480912613
35,0.335644575209305
36,0.335313163151281
37,0.334833587464976
38,0.334083187644756
39,0.332764379670951
40,0.330041540961164
41,0.325758359960565
42,0.327777174163366
43,0.330584487367982
44,0.332475517165555
45,0.33338180215983
46,0.333295228527632
47,0.332239751258081
48,0.330207117387353
49,0.326687601041782
50,0.321438695031299
51,0.314681477810128
52,0.306710736361578
53,0.297765590785271
54,0.287917802622825
55,0.277251467693243
56,0.266191482687042
57,0.255166352729986
58,0.244365561816317
59,0.233808458292789
60,0.223399415575136
61,0.213009103609503
62,0.20259237544236
63,0.192230526287
64,0.182074297166481
65,0.172269218788067
66,0.162917524938189
67,0.154074581679387
68,0.145760489034283
69,0.137973201823571
70,0.130698092602468
71,0.123913725215486
72,0.117595058964771
73,0.111715224469549
74,0.106246587730498
75,0.101161469673304
76,0.096432680968837
77,0.0920339310244019
78,0.0879401307734535
79,0.0841275991553923
80,0.0805741845493124
81,0.0772593159623236
82,0.0741640009164623
83,0.0712707868116453
84,0.0685637002792816
85,0.0660281752990842
86,0.0636509763427362
87,0.0614201182396047
88,0.0593247805437414
89,0.0573552116792151
90,0.0555026178240642
91,0.0537590338842009
92,0.0521171788027058
93,0.0505703035431131
94,0.0491120452342477
95,0.0477363032247688
96,0.0464371515160195
97,0.0452087979153639
98,0.0440455942100767
99,0.0429420939510839
100,0.0418931452366438
101,0.0408939969334594
102,0.0399403917850524
103,0.0390286224416644
104,0.0381555369675252
105,0.0373184948714895
106,0.0365152871375607
107,0.0357440397285432
108,0.0350031189785295
109,0.0342910516406756
110,0.0336064654873657
111,0.0329480507434977
112,0.0323145392519022
113,0.0317046969561978
114,0.0311173253582798
115,0.030551268352159
116,0.0300054217368601
117,0.0294787434860352
118,0.0289702634008175
119,0.0284790911094389
120,0.02800442157385
121,0.0275455374101493
122,0.0271018075081756
123,0.0266726817013392
124,0.0262576816058961
125,0.0258563881888249
126,0.0254684270638446
127,0.0250934528611312
128,0.0247311341776114
129,0.0243811405359535
130,0.0240431324635081
131,0.0237167553108327
132,0.0234016368706495
133,0.0230973883509113
134,0.0228036078948311
135,0.0225198856731663
136,0.0222458095936395
137,0.0219809708328622
138,0.021724968632792
139,0.0214774140545707
140,0.0212379326021266
141,0.0210061657918631
142,0.0207817718471107
143,0.0205644257432239
144,0.0203538188332384
145,0.0201496582580061
146,0.0199516663003183
147,0.0197595797894195
148,0.019573149608468
149,0.0193921403096816
150,0.0192163298054833
151,0.0190455090823532
152,0.0188794818783193
153,0.0187180642732597
154,0.0185610841593778
155,0.0184083805819633
156,0.0182598029625099
157,0.0181152102332873
158,0.0179744699222868
159,0.0178374572298317
160,0.0177040541343436
161,0.0175741485569453
162,0.0174476336050068
163,0.0173244069053596
164,0.0172043700299359
165,0.0170874280106883
166,0.0169734889368528
167,0.0168624636256832
168,0.0167542653572362
169,0.0166488096641767
170,0.0165460141684442
171,0.0164457984576771
172,0.0163480839953055
173,0.0162527940590759
174,0.0161598537034312
175,0.0160691897416278
176,0.0159807307437982
177,0.0158944070473848
178,0.0158101507765512
179,0.0157278958673629
180,0.0156475780957373
181,0.0155691351054277
182,0.015492506433625
183,0.0154176335321118
184,0.0153444597823159
185,0.0152729305030079
186,0.015202992949811
187,0.0151345963060808
188,0.0150676916650716
189,0.0150022320036264
190,0.0149381721478867
191,0.0148754687317316
192,0.014814080148803
193,0.0147539664990754
194,0.0146950895309777
195,0.0146374125800804
196,0.0145809005053344
197,0.0145255196237912
198,0.014471237644655
199,0.0144180236034267
200,0.0143658477968037
201,0.0143146817188893
202,0.0142644979991727
203,0.0142152703426395
204,0.0141669734722858
205,0.0141195830742276
206,0.0140730757455257
207,0.0140274289447894
